epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,
156,3484.89,2.21743,2.15684,1.7797,0.50722,0.47702,0.4851,0.16641,2.24597,2.05292,1.68386,0.0007724,0.0007724,0.0007724,
157,3507.71,2.13905,1.99267,1.6985,0.50722,0.47702,0.4851,0.16641,2.24597,2.05292,1.68386,0.00076448,0.00076448,0.00076448,
158,3526.77,2.3383,2.48698,1.90736,0.60195,0.43902,0.50915,0.1814,2.23559,2.01532,1.66527,0.00075656,0.00075656,0.00075656,
159,3546.54,2.27014,2.19439,1.74676,0.66866,0.49226,0.54013,0.18705,2.20395,2.00854,1.64971,0.00074864,0.00074864,0.00074864,
160,3568.75,2.20824,2.11106,1.72913,0.64614,0.52439,0.53913,0.18431,2.20637,2.01608,1.65915,0.00074072,0.00074072,0.00074072,
161,3596.17,2.13498,2.04087,1.67308,0.64614,0.52439,0.53913,0.18431,2.20637,2.01608,1.65915,0.0007328,0.0007328,0.0007328,
162,3623.43,2.13311,2.02029,1.66718,0.64669,0.5122,0.53289,0.15753,2.24966,2.07047,1.69303,0.00072488,0.00072488,0.00072488,
163,3650.99,2.46026,2.30569,1.82444,0.60484,0.4878,0.48281,0.14399,2.23359,2.06999,1.69603,0.00071696,0.00071696,0.00071696,
164,3679.03,2.29317,2.1236,1.75023,0.57561,0.47561,0.45937,0.1425,2.23523,2.07475,1.70412,0.00070904,0.00070904,0.00070904,
165,3706.73,2.23386,2.09148,1.77002,0.57561,0.47561,0.45937,0.1425,2.23523,2.07475,1.70412,0.00070112,0.00070112,0.00070112,
166,3734.24,2.19146,2.02557,1.72233,0.55165,0.42683,0.42488,0.13317,2.26036,2.12337,1.72443,0.0006932,0.0006932,0.0006932,
167,3762.19,2.25445,2.04555,1.74661,0.55084,0.45122,0.44784,0.13814,2.28849,2.12698,1.74037,0.00068528,0.00068528,0.00068528,
168,3790.45,2.10679,2.09285,1.67189,0.58165,0.46341,0.47288,0.14643,2.31172,2.09965,1.74538,0.00067736,0.00067736,0.00067736,
169,3817.57,2.13605,2.08414,1.69287,0.58165,0.46341,0.47288,0.14643,2.31172,2.09965,1.74538,0.00066944,0.00066944,0.00066944,
170,3845.3,2.44231,2.21342,1.83201,0.65871,0.49434,0.53928,0.16459,2.27454,2.03112,1.72,0.00066152,0.00066152,0.00066152,
171,3872.86,2.19863,2.28104,1.83373,0.70175,0.5,0.54298,0.18409,2.20845,1.96562,1.68257,0.0006536,0.0006536,0.0006536,
172,3900.71,2.19737,2.12086,1.71991,0.72195,0.5122,0.56591,0.19756,2.16761,1.93349,1.65273,0.00064568,0.00064568,0.00064568,
173,3928.1,2.08386,2.04561,1.66631,0.72195,0.5122,0.56591,0.19756,2.16761,1.93349,1.65273,0.00063776,0.00063776,0.00063776,
174,3955.73,2.12604,2.07921,1.69986,0.72009,0.4878,0.56191,0.2103,2.1504,1.94618,1.64505,0.00062984,0.00062984,0.00062984,
175,3983.25,2.20394,2.17155,1.73128,0.68743,0.5,0.553,0.20921,2.14671,1.96563,1.63529,0.00062192,0.00062192,0.00062192,
176,4010.73,2.09909,2.0866,1.68992,0.5931,0.5,0.51537,0.19611,2.17629,2.02719,1.64947,0.000614,0.000614,0.000614,
177,4038.31,2.12856,2.05636,1.65598,0.5931,0.5,0.51537,0.19611,2.17629,2.02719,1.64947,0.00060608,0.00060608,0.00060608,
178,4065.85,2.27653,2.25833,1.793,0.57239,0.4878,0.48914,0.15381,2.25041,2.14395,1.70721,0.00059816,0.00059816,0.00059816,
